time_btjd,flux
1354.5892990966584,1.0003328
1354.5906880257442,1.000317
1354.5920769548304,1.0004679
1354.5934658839176,1.0003915
1354.5948548132378,0.9997812
1354.5962437423243,1.0006089
1354.59763267141,1.0000494
1354.5990216004973,1.0004497
1354.6004105295845,1.000167
1354.6017994586716,1.0001669
1354.6031883877583,0.99984163
1354.6045773168441,1.0001861
1354.6059662459313,0.9999446
1354.6073551750185,1.0000638
1354.6087441041043,1.0013187
1354.6101330331906,1.0010897
1355.2518179150277,1.0005246
1355.253206842485,1.0000024
1355.2545957701752,1.000035
1355.2559846976312,1.0002787
1355.257373625321,0.99958277
1355.2587625527783,1.000879
1355.2601514804685,1.0002886
1355.2615404079258,0.99973905
1355.2629293356147,1.0002241
1355.2643182630711,0.9990165
1355.2657071907613,1.0002937
1355.267096118219,1.0004307
1355.2684850456756,1.0002762
1355.2698739733644,1.0001708
1355.2712629008217,0.9991611
1355.272651828512,0.9990241
1355.2740407559688,0.9996754
1355.2754296834253,0.99949753
1355.276818611115,1.0003304
1355.2782075385724,1.0000145
1355.2795964660297,1.0003073
1355.2809853934857,1.0004206
1355.282374321175,0.99919486
1355.2837632486323,0.9992946
1355.2851521760897,1.0005698
1355.2865411037799,1.0003365
1355.2879300312359,1.0006326
1355.2893189586928,0.9997174
1355.2907078861501,0.9994398
1355.2920968136066,0.9995068
1355.2934857412968,1.0003375
1355.2948746687537,0.9991532
1355.29626359621,0.9999368
1355.2976525236677,1.0004835
1355.2990414511244,1.0001298
1355.3004303785813,1.0003915
1355.3018193060377,0.9999884
1355.303208233728,0.9995551
1355.3045971611853,0.9992625
1355.3059860886422,1.001292
1355.3073750160986,0.9995194
1355.3087639435555,0.9997485
1355.310152871012,0.9986333
1355.3115417984693,0.99945277
1355.3129307259267,0.9995871
1355.3143196533836,1.0007362
1355.31570858084,1.0006632
1355.317097508297,0.9996205
1355.3184864357543,0.9994007
1355.3198753632107,1.0000426
1355.3212642906676,0.99991214
1355.3226532178921,1.0003831
1355.3240421453486,1.0003042
1355.325431072806,0.999752
1355.3268200002628,0.999984
1355.3282089277188,0.9996163
1355.3295978551762,0.99969393
1355.3309867826335,0.9996271
1355.332375710091,1.0000601
1355.333764637315,1.0000598
1355.335153564771,0.9998098
1355.3379314196857,0.9990778
1355.3393203471421,0.9999383
1355.3407092743662,0.9998026
1355.3420982018226,0.9999906
1355.34348712928,0.99942046
1355.3448760565045,0.99911976
1355.3462649839605,1.0002166
1355.3476539114174,0.99984676
1355.3490428388748,0.9988713
1355.3504317660993,0.9998817
1355.3518206935566,0.9992705
1355.3532096207798,1.0002534
1355.3545985482363,0.999441
1355.3559874756936,0.99937874
1355.3573764029184,0.9967664
1355.358765330375,0.9953007
1355.3601542575982,0.9950243
1355.3615431850556,0.99248344
1355.362932112513,0.9907636
1355.364321039737,0.99144363
1355.3657099671934,0.99039257
1355.3670988944175,0.990687
1355.3684878218749,0.9915105
1355.3698767490994,0.98989946
1355.3712656765554,0.98980325
1355.372654603779,0.98879087
1355.3740435312363,0.9887735
1355.3754324584609,0.9905612
1355.3768213856854,0.9894051
1355.3782103131414,0.9901699
1355.3795992403655,0.9884436
1355.3809881678228,0.9895902
1355.3823770950464,0.9898922
1355.383766022271,0.98956954
1355.3851549497278,0.98924464
1355.3865438769515,0.989733
1355.387932804176,0.9888631
1355.389321731633,0.9890854
1355.390710658857,0.98922443
1355.3920995860806,0.98945796
1355.393488513538,0.989012
1355.3948774407625,0.9889898
1355.3962663679865,0.989579
1355.3976552952101,0.98917973
1355.4004331498907,0.98945796
1355.4018220771152,0.98928195
1355.4032110043397,0.9895722
1355.4045999315638,0.99001276
1355.4059888590202,0.9891843
1355.4073777862443,0.98860264
1355.4087667134688,0.98959416
1355.4101556406924,0.98958147
1355.4115445679165,0.9892782
1355.412933495141,0.9904892
1355.4143224223646,0.98959655
1355.4157113495892,0.98929983
1355.4171002768132,0.990466
1355.4184892040364,0.98913777
1355.419878131261,0.9894484
1355.4212670587183,0.9901103
1355.4226559859428,0.98964953
1355.4240449131669,0.9903809
1355.42543384039,0.98930585
1355.4268227673817,0.989371
1355.4282116946063,0.9898601
1355.430989549054,0.9911667
1355.4323784762776,0.9910305
1355.433767403502,0.9910347
1355.4351563307266,0.9910613
1355.4365452579498,0.99288344
1355.4379341851738,0.99429005
1355.4393231123984,0.9949698
1355.440712039623,0.9974826
1355.4421009666146,0.99834585
1355.4434898938378,0.9993359
1355.4448788210614,1.0004088
1355.446267748286,0.9993466
1355.4476566755104,1.0002804
1355.4490456025017,1.000276
1355.4504345297248,0.99993503
1355.4518234569493,1.0003537
1355.4532123841739,1.0003763
1355.454601311398,1.0009401
1355.4559902383887,1.0005094
1355.4573791656128,1.0000451
1355.4587680928373,0.99937105
1355.460157019829,0.99903786
1355.4615459470526,0.9995797
1355.4629348742767,1.0006909
1355.4643238012675,1.0003433
1355.465712728492,1.0001475
1355.4671016557165,1.0002055
1355.4684905827069,0.9992997
1355.469879509931,0.99957234
1355.4712684369226,1.0000293
1355.4726573641462,0.999149
1355.474046291138,1.0001377
1355.475435218362,0.99959505
1355.4768241455856,1.0001985
1355.4782130725773,1.0000749
1355.4796019998014,0.9988811
1355.480990926793,1.0005597
1355.4823798540172,1.0000379
1355.483768781008,1.0005162
1355.4851577082325,1.0001159
1355.4865466352237,1.0004714
1355.4879355622145,0.9993645
1355.4893244894386,1.0002863
1355.4907134164293,0.9992085
1355.4921023436539,1.0001808
1355.4934912706456,1.0001876
1355.4948801976368,1.0001173
1355.4962691248604,0.9994969
1355.4976580518517,1.0011224
1355.4990469788434,1.0000033
1355.5004359060679,1.0005544
1355.5018248330587,0.99989194
1355.50321376005,1.0001678
1355.5046026872735,0.9997872
1355.5059916142652,1.000477
1355.5073805412565,0.9999719
1355.5087694684796,0.9992581
1355.5101583954713,1.0013539
1355.511547322463,0.9998569
1355.5129362494547,0.99949354
1355.514325176446,0.99954015
1355.515714103669,0.9994575
1355.5171030306608,1.0002766
1355.5184919576525,0.999828
1355.5198808846442,0.9995983
1355.521269811635,0.999785
1355.5226587386253,1.0007933
1355.5240476658498,0.99963045
1355.5254365928415,1.0003239
1355.5268255198318,1.0002838
1355.528214446823,0.99938744
1355.5296033738148,0.9992274
1355.5309923008065,0.999519
1355.5323812277982,1.0002959
1355.5337701547885,1.0002546
1355.5351590817793,0.9997623
1355.536548008771,1.0010412
1355.5379369357622,1.0004488
1355.539325862754,1.0004271
1355.5407147897447,0.99939424
1355.542103716736,0.99959815
1355.5434926437276,0.9998158
1355.5448815707189,1.0003847
1355.5462704977097,0.9999161
1355.547659424701,0.99973464
1355.5490483516926,0.9996695
1355.5504372786843,0.99929416
1356.1935101738861,1.0003729
1356.1948990997137,1.0002325
1356.1962880253084,0.9998601
1356.197676951136,1.0000869
1356.1990658767293,1.000673
1356.2004548025564,1.000505
1356.201843728384,1.0008864
1356.2032326539786,1.0007111
1356.2046215798052,1.0000609
1356.2073994312261,1.0001407
1356.208788356821,1.0001253
1356.210177282648,1.0002168
1356.2115662082422,1.0002975
1356.2129551340688,1.0007077
1356.2171219110853,1.0004425
1356.2185108366791,1.0007261
1356.2198997625062,1.0007179
1356.221288688101,0.9995236
1356.2226776136956,0.9998258
1356.2254554651165,1.000586
1356.2268443909431,0.9998454
